Item name	Val	Category
Dark Iron Helm	100	Blacksmithing
Darksoul Leggings	100	Blacksmithing
Darksoul Shoulders	100	Blacksmithing
Gloves of the Dawn	85	Blacksmithing
Arcanite Rod	80	Blacksmithing
Thorium Shield Spike	80	Blacksmithing
Darkrune Gauntlets	80	Blacksmithing
Darksoul Breastplate	80	Blacksmithing
Dark Iron Mail	60	Blacksmithing
Darkrune Breastplate	50	Blacksmithing
Darkrune Helm	45	Blacksmithing
Dark Iron Shoulders	40	Blacksmithing
Girdle of the Dawn	40	Blacksmithing
Runic Breastplate	40	Blacksmithing
Runic Plate Boots	40	Blacksmithing
Runic Plate Helm	40	Blacksmithing
Runic Plate Leggings	40	Blacksmithing
Runic Plate Shoulders	40	Blacksmithing
Heavy Timbermaw Belt	30	Blacksmithing
Heavy Obsidian Belt	30	Blacksmithing
Phantom Blade	25	Blacksmithing
Truesilver Breastplate	25	Blacksmithing
Truesilver Champion	20	Blacksmithing
Imperial Plate Helm	20	Blacksmithing
Imperial Plate Chest	20	Blacksmithing
Light Obsidian Belt	20	Blacksmithing
Imperial Plate Leggings	18	Blacksmithing
Blight	15	Blacksmithing
Imperial Plate Shoulders	15	Blacksmithing
The Shatterer	12	Blacksmithing
Steel Weapon Chain	10	Blacksmithing
Ebon Shiv	10	Blacksmithing
Arcanite Skeleton Key	10	Blacksmithing
Huge Thorium Battleaxe	10	Blacksmithing
Imperial Plate Bracers	8	Blacksmithing
Elemental Sharpening Stone	7	Blacksmithing
Shining Silver Breastplate	6	Blacksmithing
Green Iron Hauberk	6	Blacksmithing
Imperial Plate Belt	6	Blacksmithing
Imperial Plate Boots	6	Blacksmithing
Moonsteel Broadsword	5.5	Blacksmithing
Wicked Mithril Blade	5	Blacksmithing
Ornate Mithril Breastplate	5	Blacksmithing
Ornate Mithril Boots	5	Blacksmithing
Ornate Mithril Helm	5	Blacksmithing
Volcanic Hammer	5	Blacksmithing
Radiant Circlet	5	Blacksmithing
Radiant Leggings	5	Blacksmithing
Ornate Mithril Gloves	4.5	Blacksmithing
Ornate Mithril Pants	4.5	Blacksmithing
Shadow Crescent Axe	4	Blacksmithing
Mithril Shield Spike	4	Blacksmithing
Blue Glittering Axe	4	Blacksmithing
Dazzling Mithril Rapier	4	Blacksmithing
Big Black Mace	3.5	Blacksmithing
Heavy Mithril Breastplate	3.5	Blacksmithing
Frost Tiger Blade	3.2	Blacksmithing
Golden Iron Destroyer	3	Blacksmithing
Jade Serpentblade	3	Blacksmithing
Glinting Steel Dagger	3	Blacksmithing
Heavy Mithril Axe	3	Blacksmithing
Heavy Mithril Pants	3	Blacksmithing
Mithril Scale Shoulders	3	Blacksmithing
Heavy Mithril Helm	3	Blacksmithing
Runed Mithril Hammer	3	Blacksmithing
Radiant Belt	3	Blacksmithing
Radiant Breastplate	3	Blacksmithing
Radiant Boots	3	Blacksmithing
Thorium Leggings	3	Blacksmithing
Massive Iron Axe	2.9	Blacksmithing
Edge of Winter	2.5	Blacksmithing
Mithril Coif	2.5	Blacksmithing
Orcish War Leggings	2.5	Blacksmithing
Green Iron Helm	2	Blacksmithing
Searing Golden Blade	2	Blacksmithing
Heavy Mithril Boots	2	Blacksmithing
Thorium Armor	2	Blacksmithing
Thorium Bracers	2	Blacksmithing
Thorium Boots	2	Blacksmithing
Thorium Helm	2	Blacksmithing
Radiant Gloves	2	Blacksmithing
Iron Counterweight	1.6	Blacksmithing
Golden Scale Shoulders	1.6	Blacksmithing
Silvered Bronze Shoulders	1.5	Blacksmithing
Truesilver Rod	1.5	Blacksmithing
Mighty Iron Hammer	1.5	Blacksmithing
Solid Iron Maul	1.5	Blacksmithing
Hardened Iron Shortsword	1.5	Blacksmithing
Polished Steel Boots	1.5	Blacksmithing
Golden Scale Cuirass	1.5	Blacksmithing
Golden Scale Boots	1.5	Blacksmithing
Golden Scale Gauntlets	1.5	Blacksmithing
Heavy Mithril Gauntlet	1.5	Blacksmithing
Heavy Mithril Shoulder	1.5	Blacksmithing
Thorium Belt	1.5	Blacksmithing
Green Iron Boots	1.3	Blacksmithing
Green Iron Shoulders	1.3	Blacksmithing
Deadly Bronze Poniard	1.25	Blacksmithing
Iridescent Hammer	1.25	Blacksmithing
Green Iron Gauntlets	1.25	Blacksmithing
Silvered Bronze Leggings	1.25	Blacksmithing
Silvered Bronze Breastplate	1.2	Blacksmithing
Golden Scale Leggings	1.2	Blacksmithing
Golden Scale Coif	1.2	Blacksmithing
Barbaric Iron Gloves	1.194	Blacksmithing
Dense Grinding Stone	1	Blacksmithing
Barbaric Iron Breastplate	1	Blacksmithing
Barbaric Iron Boots	1	Blacksmithing
Steel Breastplate	1	Blacksmithing
Mithril Scale Pants	1	Blacksmithing
Mithril Scale Bracers	1	Blacksmithing
Golden Rod	1	Blacksmithing
Iron Shield Spike	0.9	Blacksmithing
Green Iron Leggings	0.9	Blacksmithing
Golden Scale Bracers	0.9	Blacksmithing
Pearl-handled Dagger	0.85	Blacksmithing
Silvered Bronze Gauntlets	0.8	Blacksmithing
Barbaric Iron Shoulders	0.8	Blacksmithing
Steel Plate Helm	0.8	Blacksmithing
Patterned Bronze Bracers	0.75	Blacksmithing
Silvered Bronze Boots	0.5	Blacksmithing
Big Bronze Knife	0.5	Blacksmithing
Ironforge Breastplate	0.5	Blacksmithing
Barbaric Iron Helm	0.5	Blacksmithing
Truesilver Skeleton Key	0.5	Blacksmithing
Dense Sharpening Stone	0.5	Blacksmithing
Dense Weightstone	0.5	Blacksmithing
Heavy Copper Broadsword	0.4	Blacksmithing
Heavy Bronze Mace	0.4	Blacksmithing
Coarse Grinding Stone	0.3	Blacksmithing
Runed Copper Breastplate	0.3	Blacksmithing
Bronze Greatsword	0.3	Blacksmithing
Solid Weightstone	0.3	Blacksmithing
Heavy Grinding Stone	0.25	Blacksmithing
Iron Buckle	0.2	Blacksmithing
Green Iron Bracers	0.2	Blacksmithing
Mithril Spurs	0.2	Blacksmithing
Copper Battle Axe	0.2	Blacksmithing
Gemmed Copper Gauntlets	0.2	Blacksmithing
Thick War Axe	0.2	Blacksmithing
Bronze Shortsword	0.2	Blacksmithing
Bronze Battle Axe	0.2	Blacksmithing
Golden Skeleton Key	0.2	Blacksmithing
Runed Copper Pants	0.18	Blacksmithing
Solid Grinding Stone	0.16	Blacksmithing
Rough Bronze Cuirass	0.15	Blacksmithing
Rough Bronze Shoulders	0.12	Blacksmithing
Rough Bronze Leggings	0.1	Blacksmithing
Copper Claymore	0.1	Blacksmithing
Copper Dagger	0.1	Blacksmithing
Copper Chain Vest	0.1	Blacksmithing
Runed Copper Gauntlets	0.1	Blacksmithing
Heavy Copper Maul	0.1	Blacksmithing
Rough Bronze Boots	0.1	Blacksmithing
Silver Skeleton Key	0.1	Blacksmithing
Bronze Axe	0.1	Blacksmithing
Bronze Warhammer	0.1	Blacksmithing
Coarse Weightstone	0.08	Blacksmithing
Runed Copper Bracers	0.08	Blacksmithing
Runed Copper Belt	0.08	Blacksmithing
Copper Shortsword	0.07	Blacksmithing
Heavy Sharpening Stone	0.05	Blacksmithing
Solid Sharpening Stone	0.05	Blacksmithing
Heavy Weightstone	0.05	Blacksmithing
Silver Rod	0.05	Blacksmithing
Copper Chain Boots	0.05	Blacksmithing
Copper Chain Belt	0.05	Blacksmithing
Bronze Mace	0.05	Blacksmithing
Copper Chain Pants	0.04	Blacksmithing
Rough Copper Vest	0.04	Blacksmithing
Copper Mace	0.04	Blacksmithing
Copper Axe	0.04	Blacksmithing
Coarse Sharpening Stone	0.03	Blacksmithing
Copper Bracers	0.02	Blacksmithing
Rough Sharpening Stone	0.01	Blacksmithing
Rough Weightstone	0.01	Blacksmithing
Rough Grinding Stone	0.01	Blacksmithing
Copper Rod	0.01	Blacksmithing
Felcloth	5	Cloth
Runecloth	0.3	Cloth
Wool Cloth	0.2	Cloth
Mageweave Cloth	0.2	Cloth
Silk Cloth	0.1	Cloth
Linen Cloth	0.02	Cloth
Smoked Desert Dumplings	2	Cooking
Dragonbreath Chili	1	Cooking
Runn Tum Tuber Surprise	0.8	Cooking
Grilled Squid	0.7	Cooking
Spiced Chili Crab	0.4	Cooking
Monster Omelet	0.3	Cooking
Tender Wolf Steak	0.3	Cooking
Spider Sausage	0.3	Cooking
Clamlette Surprise	0.3	Cooking
Barbecued Buzzard Wing	0.3	Cooking
Curiously Tasty Omelet	0.25	Cooking
Savory Deviate Delight	0.25	Cooking
Redridge Goulash	0.2	Cooking
Tasty Lion Steak	0.1	Cooking
Crocolisk Steak	0.1	Cooking
Sagefish Delight	0.06	Cooking
Giant Clam Scorcho	0.05	Cooking
Hot Wolf Ribs	0.03	Cooking
Gingerbread Cookie	0.03	Cooking
Goblin Deviled Clams	0.02	Cooking
Crocolisk Gumbo	0.02	Cooking
Carrion Surprise	0.02	Cooking
Big Bear Steak	0.02	Cooking
Lean Venison	0.02	Cooking
Lean Wolf Steak	0.02	Cooking
Heavy Crocolisk Stew	0.02	Cooking
Mystery Stew	0.01	Cooking
Murloc Fin Soup	0.01	Cooking
Jungle Stew	0.01	Cooking
Boiled Clams	0.01	Cooking
Roast Raptor	0.01	Cooking
Blood Sausage	0.01	Cooking
Crab Cake	0.01	Cooking
Herb Baked Egg	0.01	Cooking
Dry Pork Ribs	0.01	Cooking
Spiced Wolf Meat	0.01	Cooking
Goretusk Liver Pie	0.01	Cooking
Gooey Spider Cake	0.01	Cooking
Soothing Turtle Bisque	0.01	Cooking
Beer Basted Boar Ribs	0.01	Cooking
Cooked Crab Claw	0.01	Cooking
Clam Chowder	0.01	Cooking
Crispy Lizard Tail	0.01	Cooking
Succulent Pork Ribs	0.01	Cooking
Hot Lion Chops	0.01	Cooking
Coyote Steak	0.01	Cooking
Strider Stew	0.01	Cooking
Sauteed Sunfish	0	Cooking
Hot Smoked Bass	0	Cooking
Loch Frenzy Delight	0	Cooking
Undermine Clam Chowder	0	Cooking
Roasted Boar Meat	0	Cooking
Kaldorei Spider Kabob	0	Cooking
Westfall Stew	0	Cooking
Brilliant Mana Oil	19	Enchanting
Brilliant Wizard Oil	19	Enchanting
Large Brilliant Shard	10	Enchanting
Large Radiant Shard	9	Enchanting
Small Radiant Shard	8	Enchanting
Large Glowing Shard	7	Enchanting
Greater Nether Essence	6	Enchanting
Large Glimmering Shard	5	Enchanting
Wizard Oil	5	Enchanting
Small Brilliant Shard	4	Enchanting
Enchanted Thorium Bar	4	Enchanting
Lesser Mana Oil	3.5	Enchanting
Enchanted Leather	3	Enchanting
Lesser Eternal Essence	2	Enchanting
Lesser Nether Essence	2	Enchanting
Greater Mystic Wand	1.5	Enchanting
Minor Mana Oil	1.2	Enchanting
Lesser Wizard Oil	1	Enchanting
Greater Astral Essence	0.9	Enchanting
Lesser Mystic Wand	0.9	Enchanting
Dream Dust	0.75	Enchanting
Illusion Dust	0.75	Enchanting
Small Glowing Shard	0.5	Enchanting
Greater Mystic Essence	0.4	Enchanting
Greater Magic Wand	0.35	Enchanting
Lesser Astral Essence	0.3	Enchanting
Vision Dust	0.2	Enchanting
Greater Magic Essence	0.15	Enchanting
Lesser Mystic Essence	0.15	Enchanting
Soul Dust	0.14	Enchanting
Minor Wizard Oil	0.12	Enchanting
Lesser Magic Wand	0.1	Enchanting
Small Glimmering Shard	0.05	Enchanting
Lesser Magic Essence	0.05	Enchanting
Strange Dust	0.02	Enchanting
Strance Dust	0.01	Enchanting
Force Reactive Disk	500	Engineering
Flawless Arcanite Rifle	350	Engineering
Arcanite Dragonling	250	Engineering
Bloodvine Goggles	250	Engineering
Bloodvine Lens	250	Engineering
Core Marksman Rifle	200	Engineering
Biznicks 247x128 Accurascope	150	Engineering
Ultra-Flash Shadow Reflector	90	Engineering
Hyper-Radiant Flame Reflector	80	Engineering
Dark Iron Rifle	70	Engineering
Delicate Arcanite Converter	40	Engineering
Voice Amplification Modulator	40	Engineering
Lifelike Mechanical Toad	30	Engineering
Arcane Bomb	25	Engineering
Tranquil Mechanical Yeti	15	Engineering
Cluster Launcher	12	Engineering
Mithril Mechanical Dragonling	10	Engineering
Thorium Rifle	10	Engineering
Masterwork Target Dummy	10	Engineering
Mithril Blunderbuss	8	Engineering
Sniper Scope	8	Engineering
Green Lens	8	Engineering
Mithril Heavy-bore Rifle	6	Engineering
Salt Shaker	6	Engineering
Field Repair Bot 74A	6	Engineering
Firework Launcher	5	Engineering
Parachute Cloak	5	Engineering
Deepdive Helmet	5	Engineering
Major Recombobulator	5	Engineering
SnowMaster 9000	4	Engineering
Mechanical Dragonling	4	Engineering
Inlaid Mithril Cylinder	3	Engineering
Deadly Scope	3	Engineering
Accurate Scope	2.5	Engineering
Compact Harvest Reaper Kit	2	Engineering
Advanced Target Dummy	2	Engineering
Spellpower Goggles Xtreme	2	Engineering
Rose Colored Goggles	2	Engineering
Thorium Grenade	2	Engineering
Powerful Seaforium Charge	2	Engineering
Lovingly Crafted Boomstick	1.8	Engineering
Moonsight Rifle	1.6	Engineering
Thorium Tube	1.5	Engineering
Thorium Widget	1.5	Engineering
Silver-plated Shotgun	1.2	Engineering
Craftsman's Monocle	1.2	Engineering
Mithril Casing	1	Engineering
Mithril Tube	1	Engineering
Truesilver Transformer	1	Engineering
Discombobulator Ray	1	Engineering
Bright-Eye Goggles	1	Engineering
Gnomish Cloaking Device	1	Engineering
Catseye Ultra Goggles	1	Engineering
Dark Iron Bomb	1	Engineering
Unstable Trigger	1	Engineering
Ornate Spyglass	0.9	Engineering
Minor Recombobulator	0.8	Engineering
Flash Bomb	0.8	Engineering
Large Seaforium Charge	0.8	Engineering
Deadly Blunderbuss	0.7	Engineering
Gyrochronatom	0.6	Engineering
Target Dummy	0.5	Engineering
Shadow Goggles	0.5	Engineering
Flame Deflector	0.5	Engineering
Gyromatic Micro-Adjustor	0.5	Engineering
Goblin Land Mine	0.5	Engineering
Blue Rocket Cluster	0.5	Engineering
Green Rocket Cluster	0.5	Engineering
Red Rocket Cluster	0.5	Engineering
Dense Dynamite	0.5	Engineering
Snake Burst Firework	0.5	Engineering
Large Blue Rocket Cluster	0.5	Engineering
Large Green Rocket Cluster	0.5	Engineering
Large Red Rocket Cluster	0.5	Engineering
Standard Scope	0.4	Engineering
Solid Blasting Powder	0.4	Engineering
Gnomish Universal Remote	0.4	Engineering
Explosive Sheep	0.4	Engineering
Portable Bronze Mortar	0.4	Engineering
Mithril Frag Bomb	0.4	Engineering
EZ-Thro Dynamite	0.35	Engineering
Dense Blasting Powder	0.3	Engineering
Iron Strut	0.3	Engineering
Flying Tiger Goggles	0.3	Engineering
Iron Grenade	0.3	Engineering
Large Blue Rocket	0.3	Engineering
Large Green Rocket	0.3	Engineering
Large Red Rocket	0.3	Engineering
EZ-Thro Dynamite II	0.3	Engineering
Big Iron Bomb	0.2	Engineering
Gold Power Core	0.2	Engineering
Mechanical Squirrel Box	0.2	Engineering
Small Blue Rocket	0.2	Engineering
Small Green Rocket	0.2	Engineering
Small Red Rocket	0.2	Engineering
Mechanical Repair Kit	0.2	Engineering
Solid Dynamite	0.18	Engineering
Bronze Framework	0.15	Engineering
Big Bronze Bomb	0.15	Engineering
Whirring Bronze Gizmo	0.1	Engineering
Small Seaforium Charge	0.1	Engineering
Heavy Dynamite	0.1	Engineering
Small Bronze Bomb	0.09	Engineering
Blue Firework	0.09	Engineering
Bronze Tube	0.08	Engineering
Rough Boomstick	0.08	Engineering
Crude Scope	0.05	Engineering
Large Copper Bomb	0.05	Engineering
Green Firework	0.05	Engineering
Red Firework	0.05	Engineering
Heavy Blasting Powder	0.04	Engineering
Copper Modulator	0.03	Engineering
Coarse Blasting Powder	0.03	Engineering
Arclight Spanner	0.03	Engineering
Aquadynamic Fish Attractor	0.02	Engineering
Copper Tube	0.02	Engineering
Rough Copper Bomb	0.02	Engineering
Coarse Dynamite	0.02	Engineering
Ice Deflector	0.02	Engineering
Silver Contact	0.01	Engineering
Rough Dynamite	0.01	Engineering
Handful of Copper Bolts	0.01	Engineering
Aquadynamic Fish Lens	0.01	Engineering
Mithril Gyro-Shot	0.005	Engineering
Hi-Impact Mithril Slugs	0.002	Engineering
Crafted Solid Shot	0.001	Engineering
Thorium Shells	0.001	Engineering
Crafted Heavy Shot	0.0002	Engineering
Crafted Light Shot	0.0001	Engineering
Rough Blasting Powder	0	Engineering
Practice Lock	0	Engineering
Goblin Jumper Cables	0	Engineering
Heavy Shot	0	Engineering
Heavy Mageweave Bandage	0.2	First Aid
Runecloth Bandage	0.15	First Aid
Mageweave Bandage	0.1	First Aid
Heavy Wool Bandage	0.05	First Aid
Heavy Silk Bandage	0.05	First Aid
Wool Bandage	0.01	First Aid
Anti-Venom	0.01	First Aid
Heavy Linen Bandage	0	First Aid
Linen Bandage	0	First Aid
Deviate Fish	1	Fishing
Stonescale Eel	0.35	Fishing
Raw Glossy Mightfish	0.3	Fishing
Winter Squid	0.2	Fishing
Oily Blackmouth	0.15	Fishing
Firefin Snapper	0.1	Fishing
Darkshore Grouper	0.1	Fishing
Rumsey Rum Light	0.05	Fishing
Raw Summer Bass	0.03	Fishing
Raw Rockscale Cod	0	Fishing
Raw Spotted Yellowtail	0	Fishing
Spotted Yellowtail	0	Fishing
Raw Brilliant Smallfish	0	Fishing
Raw Rainbow Fin Albacore	0	Fishing
Rainbow Fin Albacore	0	Fishing
Rockscale Cod	0	Fishing
Bristle Whisker Catfish	0	Fishing
Longjaw Mud Snapper	0	Fishing
Mithril Head Trout	0	Fishing
Raw Longjaw Mud Snapper	-0.01	Fishing
Raw Bristle Whisker Catfish	-0.01	Fishing
Raw Slitherskin Mackerel	-0.01	Fishing
Raw Loch Frenzy	-0.01	Fishing
Edgemaster's Handguards	1500	Gear
Warden Staff	220	Gear
Jeweled Amulet of Cainwyn	200	Gear
The Eye of Shadow	150	Gear
Bloodrazor	130	Gear
Wall of the Dead	120	Gear
Hanzo Sword	100	Gear
Gut Ripper	100	Gear
Beaststalker's Gloves	90	Gear
Shadowcraft Belt	85	Gear
Beguiler Robes	80	Gear
Robes of Insight	80	Gear
Lord Alexander's Battle Axe	80	Gear
Hydralick Armor	80	Gear
Taran Icebreaker	75	Gear
Gloves of Holy Might	60	Gear
Pugilist Bracers	50	Gear
Kaleidoscope Chain	50	Gear
Icemail Jerkin	50	Gear
Ogron's Sash	50	Gear
Plated Fist of Hakoo	50	Gear
Hammer of the Northern Wind	45	Gear
Black Velvet Robes	45	Gear
Black Malice	45	Gear
Troll's Bane Leggings	45	Gear
Sliverblade	45	Gear
Yorgen Bracers	45	Gear
Eye of Flame	45	Gear
Skibi's Pendant	40	Gear
Scarlet Chestpiece	40	Gear
Ta'Kierthan Songblade	40	Gear
Onyx Claymore	40	Gear
Basilisk Hide Pants	40	Gear
Devout Gloves	40	Gear
Frostreaver Crown	40	Gear
Hotshot Pilot's Gloves	40	Gear
Lei of Lilies	40	Gear
Thunderwood	40	Gear
Frenzied Striker	40	Gear
Magefist Gloves	40	Gear
Cobalt Crusher	40	Gear
Dreamsinger Legguards	40	Gear
Joonho's Mercy	40	Gear
Blanchard's Stout	40	Gear
The Silencer	35	Gear
Stonerender Gauntlets	35	Gear
Stoneraven	35	Gear
Speedsteel Rapier	35	Gear
Mageflame Cloak	35	Gear
The Needler	35	Gear
Demonslayer	35	Gear
Obsidian Greaves	30	Gear
Giantslayer Bracers	30	Gear
Firemane Leggings	30	Gear
Prospector Axe	30	Gear
Windrunner Legguards	30	Gear
Devout Belt	30	Gear
Skycaller	30	Gear
Deepfury Bracers	30	Gear
Thorbia's Gauntlets	30	Gear
Reticulated Bone Gauntlets	30	Gear
Harpyclaw Short Bow	30	Gear
Mugthol's Helm	30	Gear
Ranger Bow	25	Gear
Eye of Adaegus	25	Gear
Wand of Allistarj	25	Gear
Viscous Hammer	25	Gear
Arena Bands	25	Gear
The Ziggler	25	Gear
Resplendent Guardian	25	Gear
Heaven's Light	25	Gear
Bludstone Hammer	25	Gear
Searing Blade	25	Gear
Ironpatch Blade	25	Gear
Keller's Girdle	24	Gear
Twisted Chanter's Staff	22	Gear
Dreadmist Belt	20	Gear
Beaststalker's Bindings	20	Gear
Needle Threader	20	Gear
Ironweaver	20	Gear
Blackvenom Blade	20	Gear
Witching Stave	20	Gear
Six Demon Bag	20	Gear
Lightforge Gauntlets	20	Gear
Sentry Cloak	20	Gear
Sparkleshell Mantle	20	Gear
Oscillating Power Hammer	20	Gear
Girdle of Uther	20	Gear
Silver-linked Footguards	20	Gear
Black Ogre Kickers	20	Gear
Burning War Axe	20	Gear
Blazing Emblem	20	Gear
Braincage	20	Gear
Amy's Blanket	20	Gear
Bonechewer	20	Gear
Double-barreled Shotgun	20	Gear
Witchfury	20	Gear
Midnight Mace	20	Gear
Serenity Belt	20	Gear
Funeral Pyre Vestment	20	Gear
Dalewind Trousers	20	Gear
Howling Blade	20	Gear
Sword of Corruption	20	Gear
Killmaim	20	Gear
Night Watch Shortsword	18	Gear
Julie's Dagger	18	Gear
Broken Blade of Heroes	18	Gear
Curve-bladed Ripper	15	Gear
Lady Alizabeth's Pendant	15	Gear
Changuk Smasher	15	Gear
Stormbringer Belt	15	Gear
Cord of Elements	15	Gear
Crushridge Bindings	15	Gear
Winged Helm	15	Gear
Belt of the Gladiator	15	Gear
Bindings of Elements	15	Gear
Lightforge Belt	15	Gear
Sword of the Magistrate	15	Gear
Sunblaze Coif	15	Gear
Wildheart Bracers	15	Gear
Tanglewood Staff	15	Gear
Guardian Blade	15	Gear
Blackfang	15	Gear
Archaic Defender	15	Gear
The Black Knight	15	Gear
Stalvan's Reaper	15	Gear
Bearded Boneaxe	12	Gear
Umbral Crystal	12	Gear
Looming Gavel	12	Gear
Redbeard Crest	10	Gear
Crystalpine Stinger	10	Gear
Gnarled Ash Staff	10	Gear
Black Duskwood Staff	10	Gear
Combatant Claymore	10	Gear
Ankh of Life	10	Gear
The Queen's Jewel	10	Gear
Wildheart Gloves	10	Gear
Polished Jazeraint Armor	10	Gear
Band of the Unicorn	10	Gear
Southsea Lamp	10	Gear
Razor's Edge	10	Gear
Black Pearl Ring	10	Gear
Sheepshear Mantle	10	Gear
Deadwood Sledge	10	Gear
Shield of Thorsen	10	Gear
Mountainside Buckler	10	Gear
Gauntlets of Elements	10	Gear
Beazel's Basher	8	Gear
Cow King's Hide	8	Gear
Enduring Cap	8	Gear
Glowing Magical Bracelets	8	Gear
Khoo's Point	8	Gear
Gloves of Old	8	Gear
Band of Purification	8	Gear
Elven Spirit Claws	8	Gear
Sandals of the Insurgent	8	Gear
Hellslayer Battle Axe	8	Gear
Rod of Molten Fire	8	Gear
Elemental Raiment	8	Gear
Orb of Mistmantle	8	Gear
Battlecaller Gauntlets	8	Gear
High Bergg Helm	7	Gear
Twisted Sabre	6	Gear
Poison-tipped Bone Spear	6	Gear
Silver-lined Belt	6	Gear
Skeletal Club	5	Gear
Bloodpike	5	Gear
Firebane Cloak	5	Gear
Pads of the Venom Spider	5	Gear
Gargoyle's Bite	5	Gear
Deanship Claymore	5	Gear
Antipodean Rod	5	Gear
Enchanted Kodo Bracers	5	Gear
Cold Basilisk Eye	5	Gear
Drakewing Bands	4	Gear
Pulsating Hydra Heart	4	Gear
Moccasins of the White Hare	3	Gear
Starsight Tunic	3	Gear
Double Link Tunic	3	Gear
Naraxis' Fang	1	Gear
Hook Dagger of Power	0.8	Gear
Curved Dagger of Power	0.6	Gear
Black Metal Axe	0.5	Gear
Soldier's Wristguards of the Bear	0.5	Gear
Goblin Screwdriver	0.5	Gear
